i,Pref[i],Char[i],Used[i]
3,0,0,5
4,0,1,0
5,0,2,0
6,0,3,0
7,0,4,0
8,0,5,0
9,0,6,0
10,0,7,0
11,0,8,0
12,0,9,0
13,0,10,277
14,0,11,0
15,0,12,0
16,0,13,646
17,0,14,0
18,0,15,0
19,0,16,0
20,0,17,0
21,0,18,0
22,0,19,0
23,0,20,0
24,0,21,0
25,0,22,1
26,0,23,0
27,0,24,0
28,0,25,0
29,0,26,0
30,0,27,4
31,0,28,0
32,0,29,0
33,0,30,0
34,0,31,0
35,0,32,2102
36,0,33,110
37,0,34,13
38,0,35,9
39,0,36,5
40,0,37,3
41,0,38,4
42,0,39,85
43,0,40,99
44,0,41,116
45,0,42,26
46,0,43,10
47,0,44,220
48,0,45,165
49,0,46,383
50,0,47,43
51,0,48,34
52,0,49,109
53,0,50,69
54,0,51,54
55,0,52,47
56,0,53,61
57,0,54,43
58,0,55,26
59,0,56,36
60,0,57,23
61,0,58,83
62,0,59,0
63,0,60,13
64,0,61,30
65,0,62,11
66,0,63,5
67,0,64,0
68,0,65,223
69,0,66,147
70,0,67,110
71,0,68,129
72,0,69,263
73,0,70,86
74,0,71,100
75,0,72,172
76,0,73,259
77,0,74,12
78,0,75,50
79,0,76,172
80,0,77,165
81,0,78,245
82,0,79,214
83,0,80,161
84,0,81,16
85,0,82,143
86,0,83,227
87,0,84,303
88,0,85,109
89,0,86,34
90,0,87,89
91,0,88,10
92,0,89,93
93,0,90,2
94,0,91,28
95,0,92,19
96,0,93,22
97,0,94,0
98,0,95,54
99,0,96,0
100,0,97,726
101,0,98,215
102,0,99,331
103,0,100,303
104,0,101,826
105,0,102,216
106,0,103,188
107,0,104,330
108,0,105,665
109,0,106,19
110,0,107,132
111,0,108,451
112,0,109,278
113,0,110,484
114,0,111,755
115,0,112,238
116,0,113,18
117,0,114,451
118,0,115,573
119,0,116,734
120,0,117,316
121,0,118,104
122,0,119,205
123,0,120,40
124,0,121,245
125,0,122,13
126,0,123,1
127,0,124,0
128,0,125,0
129,0,126,1
130,0,127,0
131,0,128,0
132,0,129,0
133,0,130,0
134,0,131,0
135,0,132,0
136,0,133,0
137,0,134,0
138,0,135,0
139,0,136,0
140,0,137,0
141,0,138,0
142,0,139,0
143,0,140,0
144,0,141,0
145,0,142,0
146,0,143,0
147,0,144,0
148,0,145,0
149,0,146,0
150,0,147,0
151,0,148,0
152,0,149,0
153,0,150,0
154,0,151,0
155,0,152,0
156,0,153,0
157,0,154,0
158,0,155,0
159,0,156,0
160,0,157,0
161,0,158,0
162,0,159,0
163,0,160,0
164,0,161,0
165,0,162,0
166,0,163,0
167,0,164,0
168,0,165,0
169,0,166,0
170,0,167,0
171,0,168,0
172,0,169,0
173,0,170,0
174,0,171,0
175,0,172,0
176,0,173,0
177,0,174,0
178,0,175,0
179,0,176,0
180,0,177,0
181,0,178,0
182,0,179,0
183,0,180,0
184,0,181,0
185,0,182,0
186,0,183,0
187,0,184,0
188,0,185,0
189,0,186,0
190,0,187,0
191,0,188,0
192,0,189,0
193,0,190,0
194,0,191,0
195,0,192,0
196,0,193,0
197,0,194,0
198,0,195,0
199,0,196,0
200,0,197,0
201,0,198,0
202,0,199,0
203,0,200,0
204,0,201,0
205,0,202,0
206,0,203,0
207,0,204,0
208,0,205,0
209,0,206,0
210,0,207,0
211,0,208,0
212,0,209,0
213,0,210,0
214,0,211,0
215,0,212,0
216,0,213,0
217,0,214,0
218,0,215,0
219,0,216,0
220,0,217,0
221,0,218,0
222,0,219,0
223,0,220,0
224,0,221,0
225,0,222,0
226,0,223,0
227,0,224,0
228,0,225,0
229,0,226,0
230,0,227,0
231,0,228,0
232,0,229,0
233,0,230,0
234,0,231,0
235,0,232,0
236,0,233,0
237,0,234,0
238,0,235,0
239,0,236,0
240,0,237,0
241,0,238,0
242,0,239,0
243,0,240,0
244,0,241,0
245,0,242,0
246,0,243,0
247,0,244,0
248,0,245,0
249,0,246,0
250,0,247,0
251,0,248,0
252,0,249,0
253,0,250,0
254,0,251,0
255,0,252,0
256,0,253,0
257,0,254,0
258,0,255,0
259,52,13,2
260,16,10,646
261,13,13,66
262,260,49,31
263,52,55,4
264,58,46,9
265,49,32,266
266,35,72,44
267,75,111,39
268,114,119,62
269,122,32,26
270,35,116,142
271,119,111,87
272,114,32,68
273,35,77,32
274,80,97,21
275,100,107,39
276,110,101,59
277,104,32,218
278,35,78,25
279,81,105,11
280,108,116,123
281,119,114,21
282,117,111,64
283,114,45,3
284,48,71,3
285,74,108,6
286,111,121,34
287,124,99,4
288,102,101,37
289,104,114,121
290,117,105,33
291,108,110,183
292,113,101,68
293,104,13,25
294,262,56,1
295,59,46,9
296,265,72,23
297,267,119,36
298,269,116,14
299,271,32,61
300,35,75,7
301,78,105,4
302,108,108,47
303,111,108,56
304,111,32,43
305,35,119,49
306,122,105,39
307,280,104,15
308,107,32,19
309,35,121,22
310,124,111,66
311,114,117,64
312,120,114,45
313,117,32,65
314,35,98,42
315,101,97,28
316,100,114,86
317,117,101,111
318,277,104,4
319,107,97,59
320,100,110,108
321,113,100,58
322,103,115,15
323,118,46,13
324,49,13,71
325,262,57,1
326,60,46,11
327,265,70,3
328,73,105,4
329,108,103,32
330,106,104,22
331,107,116,11
332,119,105,74
333,291,103,72
334,106,32,22
335,35,68,24
336,71,105,4
337,108,114,21
338,117,116,22
339,119,121,7
340,124,46,6
341,296,111,20
342,268,32,29
343,270,111,39
