i,Pref[i],Char[i],Used[i]
3,0,0,5
4,0,1,0
5,0,2,0
6,0,3,0
7,0,4,0
8,0,5,0
9,0,6,0
10,0,7,0
11,0,8,0
12,0,9,0
13,0,10,3
14,0,11,0
15,0,12,0
16,0,13,14
17,0,14,0
18,0,15,0
19,0,16,0
20,0,17,0
21,0,18,0
22,0,19,0
23,0,20,0
24,0,21,0
25,0,22,0
26,0,23,0
27,0,24,0
28,0,25,0
29,0,26,0
30,0,27,0
31,0,28,0
32,0,29,0
33,0,30,0
34,0,31,0
35,0,32,35
36,0,33,1
37,0,34,0
38,0,35,0
39,0,36,0
40,0,37,0
41,0,38,0
42,0,39,0
43,0,40,3
44,0,41,4
45,0,42,0
46,0,43,0
47,0,44,1
48,0,45,3
49,0,46,13
50,0,47,2
51,0,48,2
52,0,49,3
53,0,50,1
54,0,51,1
55,0,52,1
56,0,53,2
57,0,54,2
58,0,55,0
59,0,56,2
60,0,57,1
61,0,58,1
62,0,59,0
63,0,60,0
64,0,61,0
65,0,62,0
66,0,63,0
67,0,64,0
68,0,65,2
69,0,66,4
70,0,67,0
71,0,68,2
72,0,69,1
73,0,70,1
74,0,71,2
75,0,72,2
76,0,73,1
77,0,74,0
78,0,75,0
79,0,76,1
80,0,77,4
81,0,78,3
82,0,79,0
83,0,80,3
84,0,81,0
85,0,82,1
86,0,83,1
87,0,84,3
88,0,85,0
89,0,86,0
90,0,87,0
91,0,88,0
92,0,89,1
93,0,90,0
94,0,91,1
95,0,92,0
96,0,93,1
97,0,94,0
98,0,95,0
99,0,96,0
100,0,97,23
101,0,98,4
102,0,99,7
103,0,100,5
104,0,101,22
105,0,102,2
106,0,103,2
107,0,104,3
108,0,105,11
109,0,106,0
110,0,107,4
111,0,108,7
112,0,109,7
113,0,110,7
114,0,111,20
115,0,112,4
116,0,113,0
117,0,114,7
118,0,115,9
119,0,116,13
120,0,117,2
121,0,118,1
122,0,119,4
123,0,120,0
124,0,121,6
125,0,122,0
126,0,123,0
127,0,124,0
128,0,125,0
129,0,126,0
130,0,127,0
131,0,128,0
132,0,129,0
133,0,130,0
134,0,131,0
135,0,132,0
136,0,133,0
137,0,134,0
138,0,135,0
139,0,136,0
140,0,137,0
141,0,138,0
142,0,139,0
143,0,140,0
144,0,141,0
145,0,142,0
146,0,143,0
147,0,144,0
148,0,145,0
149,0,146,0
150,0,147,0
151,0,148,0
152,0,149,0
153,0,150,0
154,0,151,0
155,0,152,0
156,0,153,0
157,0,154,0
158,0,155,0
159,0,156,0
160,0,157,0
161,0,158,0
162,0,159,0
163,0,160,0
164,0,161,0
165,0,162,0
166,0,163,0
167,0,164,0
168,0,165,0
169,0,166,0
170,0,167,0
171,0,168,0
172,0,169,0
173,0,170,0
174,0,171,0
175,0,172,0
176,0,173,0
177,0,174,0
178,0,175,0
179,0,176,0
180,0,177,0
181,0,178,0
182,0,179,0
183,0,180,0
184,0,181,0
185,0,182,0
186,0,183,0
187,0,184,0
188,0,185,0
189,0,186,0
190,0,187,0
191,0,188,0
192,0,189,0
193,0,190,0
194,0,191,0
195,0,192,0
196,0,193,0
197,0,194,0
198,0,195,0
199,0,196,0
200,0,197,0
201,0,198,0
202,0,199,0
203,0,200,0
204,0,201,0
205,0,202,0
206,0,203,0
207,0,204,0
208,0,205,0
209,0,206,0
210,0,207,0
211,0,208,0
212,0,209,0
213,0,210,0
214,0,211,0
215,0,212,0
216,0,213,0
217,0,214,0
218,0,215,0
219,0,216,0
220,0,217,0
221,0,218,0
222,0,219,0
223,0,220,0
224,0,221,0
225,0,222,0
226,0,223,0
227,0,224,0
228,0,225,0
229,0,226,0
230,0,227,0
231,0,228,0
232,0,229,0
233,0,230,0
234,0,231,0
235,0,232,0
236,0,233,0
237,0,234,0
238,0,235,0
239,0,236,0
240,0,237,0
241,0,238,0
242,0,239,0
243,0,240,0
244,0,241,0
245,0,242,0
246,0,243,0
247,0,244,0
248,0,245,0
249,0,246,0
250,0,247,0
251,0,248,0
252,0,249,0
253,0,250,0
254,0,251,0
255,0,252,0
256,0,253,0
257,0,254,0
258,0,255,0
259,16,10,14
260,49,32,13
261,118,32,2
262,35,116,3
263,104,32,6
264,114,110,3
265,108,110,2
266,100,114,1
267,119,32,1
268,108,116,2
269,35,97,1
270,114,117,1
271,107,101,1
272,113,32,1
273,100,116,2
274,105,32,1
275,47,32,1
276,35,111,1
277,100,115,4
278,124,32,3
279,104,110,2
280,100,110,3
281,102,104,1
282,119,111,4
283,44,32,1
284,265,101,1
285,114,119,3
286,259,13,3
287,286,10,2
288,104,115,3
289,110,101,1
290,282,32,3
291,35,99,1
292,119,105,3
293,35,32,1
294,293,32,1
295,117,97,1
296,114,109,3
297,111,97,2
298,44,13,2
299,260,32,5
300,75,111,2
301,285,32,2
302,262,111,2
303,113,101,1
304,104,114,3
305,299,72,3
306,122,32,3
307,302,32,2
308,80,97,1
309,100,107,4
310,289,32,1
311,69,111,2
312,296,98,3
313,101,13,1
314,305,111,2
315,290,77,2
316,308,107,1
317,100,32,1
318,104,116,1
319,35,66,3
320,314,119,2
321,319,111,2
322,312,13,2
323,259,57,1
324,60,46,1
325,320,32,1
326,307,112,1
327,115,105,1
328,108,99,1
329,102,107,3
330,110,32,2
331,35,108,1
332,111,111,1
333,114,99,1
334,329,115,1
335,118,13,1
336,259,49,5
337,52,48,1
338,51,46,1
339,260,69,1
340,72,118,1
341,121,101,1
342,279,32,1
343,35,77,3
